ts,value
1707148047,103
1707148062,250
1707148077,403
1707148092,542
1707148107,711
1707148122,846
1707148137,997
1707148152,1150
1707148167,1305
1707148182,1444
1707148197,1606
1707148212,1746
1707148227,1893
1707148242,2042
1707148257,2199
1707148272,2350
1707148287,2490
1707148302,2645
1707148317,2797
1707148332,2947
1707148347,3106
1707148362,3242
1707148377,3400
1707148392,3549
1707148407,3696
1707148422,3844
1707148437,3996
1707148452,4149
1707148467,4302
1707148482,4450
1707148497,4604
1707148512,4746
1707148527,4905
1707148542,5045
1707148557,5196
1707148572,5344
1707148587,5500
1707148602,5644
1707148617,5798
1707148632,5947
1707148647,6092
1707148662,6241
1707148677,6402
1707148692,6549
1707148707,6700
1707148722,6841
1707148737,6999
1707148752,7146
1707148767,7297
1707148782,7449
1707148797,7604
1707148812,7743
1707148827,7898
1707148842,8048
1707148857,8196
1707148872,8348
1707148887,8501
1707148902,8641
1707148917,8797
1707148932,8947
