ts,value,resource,verb
1707148932,0.0248,mutatingwebhookconfigurations,APPLY
1707148932,0.04212500000000001,roles,PUT
1707148932,0.0360000000000002,networkpolicies,PUT
1707148932,0.024300000000000006,endpoints,PUT
1707148932,0.04574999999999996,services,PUT
1707148932,0.004963487738419619,tokenreviews,POST
1707148932,0.04449576698811399,ingresses,APPLY
1707148932,0.024710638297872338,rolebindings,PUT
1707148932,0.025689873417721762,endpointslices,POST
1707148932,0.046375000000000034,mutatingwebhookconfigurations,PUT
1707148932,0.04591666666666669,pods,PATCH
1707148932,0.02425333333333334,priorityclasses,PUT
1707148932,0.04869999999999998,secrets,PUT
1707148932,0.031100000000000093,serviceaccounts,PUT
1707148932,0.0248,endpointslices,PUT
1707148932,0.0248,deployments,PATCH
1707148932,0.024600000000000004,apiservices,PUT
1707148932,0.045837254745573465,websites,PATCH
1707148932,0.047327761420837625,services,APPLY
1707148932,0.02456666666666667,jobs,PUT
1707148932,0.04499096554038931,configmaps,APPLY
1707148932,0.04570833333333338,validatingwebhookconfigurations,PUT
1707148932,0.024425641025641032,storageclasses,PUT
1707148932,0.04518759145449214,deployments,APPLY
1707148932,0.045947368421052646,customresourcedefinitions,PUT
1707148932,0.04066666666666677,daemonsets,PUT
1707148932,0.024700000000000007,jobs,DELETE
1707148932,0.04312499999999984,verticalpodautoscalercheckpoints,PATCH
1707148932,0.09700000000000004,pods,DELETE
1707148932,0.00495,events,POST
1707148932,0.03995801607445039,replicasets,POST
1707148932,0.04655000000000007,nodes,PATCH
1707148932,0.024440000000000007,namespaces,PUT
1707148932,0.004950000000000001,subjectaccessreviews,POST
1707148932,0.03573141646489123,websites,PUT
1707148932,0.04833685694150813,replicasets,DELETE
1707148932,0.02424776119402985,configmaps,PUT
1707148932,0.09562009512485145,websites,POST
1707148932,0.08600000000000041,horizontalpodautoscalers,PUT
1707148932,0.02493455453788509,leases,PUT
1707148932,0.03891666666666677,clusterrolebindings,PUT
1707148932,0.04919444444444447,serviceaccounts,POST
1707148932,0.02455,cronjobs,PUT
1707148932,0.02360000000000001,csidrivers,PUT
1707148932,0.04092852764155164,deployments,PUT
1707148932,0.00495,events,PATCH
1707148932,0.024800000000000003,jobs,POST
1707148932,0.04749999999999993,verticalpodautoscalers,PUT
1707148932,0.040958395355760735,replicasets,PUT
1707148932,0.02473546756529064,endpoints,POST
1707148932,0.09700000000000004,pods,POST
1707148932,0.04666666666666658,verticalpodautoscalers,PATCH
1707148932,0.0317500000000002,clusterroles,PUT
1707148932,0.024536842105263166,poddisruptionbudgets,PUT
