ts,value
1707143768,100
1707143783,272
1707143798,398
1707143813,570
1707143828,696
1707143843,861
1707143858,994
1707143873,1155
1707143888,1298
1707143903,1466
1707143918,1598
1707143933,1764
1707143948,1890
1707143963,2065
1707143978,2195
1707143993,2364
1707144008,2500
1707144023,2672
1707144038,2797
1707144053,2964
1707144068,3087
1707144083,3270
1707144098,3402
1707144113,3563
1707144128,3700
1707144143,3866
1707144158,4001
1707144173,4162
1707144188,4304
1707144203,4466
1707144218,4600
1707144233,4770
1707144248,4896
1707144263,5069
1707144278,5195
1707144293,5364
1707144308,5493
1707144323,5656
1707144338,5795
1707144353,5961
1707144368,6101
1707144383,6267
1707144398,6390
1707144413,6563
1707144428,6689
1707144443,6860
1707144458,6994
1707144473,7164
1707144488,7296
1707144503,7460
1707144518,7595
1707144533,7770
1707144548,7905
1707144563,8062
1707144578,8188
1707144593,8361
1707144608,8493
1707144623,8668
1707144638,8793
1707144653,8965
