ts,value,controller
1707143783,5.0535000000000005,website-generator
1707143798,7.5535000000000005,website-generator
1707143813,10,website-generator
1707143828,10,website-generator
1707143843,10,website-generator
1707143858,10,website-generator
1707143873,10,website-generator
1707143888,10,website-generator
1707143903,10,website-generator
1707143918,10,website-generator
1707143933,10,website-generator
1707143948,10,website-generator
1707143963,10,website-generator
1707143978,10,website-generator
1707143993,10,website-generator
1707144008,10,website-generator
1707144023,10,website-generator
1707144038,10,website-generator
1707144053,10,website-generator
1707144068,10,website-generator
1707144083,10,website-generator
1707144098,10,website-generator
1707144113,10,website-generator
1707144128,10,website-generator
1707144143,10,website-generator
1707144158,10,website-generator
1707144173,10,website-generator
1707144188,10,website-generator
1707144203,10,website-generator
1707144218,10,website-generator
1707144233,10,website-generator
1707144248,10,website-generator
1707144263,10,website-generator
1707144278,10,website-generator
1707144293,10,website-generator
1707144308,10,website-generator
1707144323,10,website-generator
1707144338,10,website-generator
1707144353,10,website-generator
1707144368,10,website-generator
1707144383,10,website-generator
1707144398,10,website-generator
1707144413,10,website-generator
1707144428,10,website-generator
1707144443,10,website-generator
1707144458,10,website-generator
1707144473,10,website-generator
1707144488,10,website-generator
1707144503,10,website-generator
1707144518,10,website-generator
1707144533,10,website-generator
1707144548,10,website-generator
1707144563,10,website-generator
1707144578,10,website-generator
1707144593,10,website-generator
1707144608,10,website-generator
1707144623,10,website-generator
1707144638,10,website-generator
1707144653,10,website-generator
1707143783,0,website-mutator
1707143798,1.62591,website-mutator
1707143813,4.8669459999999996,website-mutator
1707143828,8.743191999999999,website-mutator
1707143843,14.920445999999998,website-mutator
1707143858,19.12,website-mutator
1707143873,25.560000000000002,website-mutator
1707143888,29.12,website-mutator
1707143903,35.56,website-mutator
1707143918,39.12,website-mutator
1707143933,45.56,website-mutator
1707143948,49.14,website-mutator
1707143963,55.56,website-mutator
1707143978,59.14,website-mutator
1707143993,65.56,website-mutator
1707144008,69.14,website-mutator
1707144023,75.56,website-mutator
1707144038,79.14,website-mutator
1707144053,85.56,website-mutator
1707144068,89.08,website-mutator
1707144083,95.54,website-mutator
1707144098,99.10000000000001,website-mutator
1707144113,105.60000000000001,website-mutator
1707144128,109.10000000000001,website-mutator
1707144143,115.58,website-mutator
1707144158,118.96000000000001,website-mutator
1707144173,125.52,website-mutator
1707144188,128.98,website-mutator
1707144203,135.66,website-mutator
1707144218,138.98,website-mutator
1707144233,145.56,website-mutator
1707144248,149.04,website-mutator
1707144263,155.5,website-mutator
1707144278,159.1,website-mutator
1707144293,165.5,website-mutator
1707144308,169.08,website-mutator
1707144323,175.5,website-mutator
1707144338,179.12,website-mutator
1707144353,185.52,website-mutator
1707144368,189.08,website-mutator
1707144383,195.56,website-mutator
1707144398,199.1,website-mutator
1707144413,205.62,website-mutator
1707144428,209.24,website-mutator
1707144443,215.62,website-mutator
1707144458,219.14000000000001,website-mutator
1707144473,225.66,website-mutator
1707144488,229.16,website-mutator
1707144503,235.74,website-mutator
1707144518,239.1,website-mutator
1707144533,245.36,website-mutator
1707144548,249.06,website-mutator
1707144563,255.42000000000002,website-mutator
1707144578,258.94,website-mutator
1707144593,265.46,website-mutator
1707144608,268.94,website-mutator
1707144623,275.6,website-mutator
1707144638,278.94,website-mutator
1707144653,285.62,website-mutator
