ts,value
1707143753,NaN
1707143768,0.09977393364928909
1707143783,0.09997295492487479
1707143798,0.11847368421052029
1707143813,0.09987491856677526
1707143828,0.0998655252918288
1707143843,0.09996217032967035
1707143858,0.09982777897226404
1707143873,0.09962440828402368
1707143888,0.09959810177705979
1707143903,0.09945498862528437
1707143918,0.0993905315614618
1707143933,0.09935582407335457
1707143948,0.09937097168466083
1707143963,0.09937571253715685
1707143978,0.0994831474145121
1707143993,0.09944905005480453
1707144008,0.09942865523652138
1707144023,0.09944544224156854
1707144038,0.09941702284450997
1707144053,0.09945403329833509
1707144068,0.09952984963237327
1707144083,0.09962251451742092
1707144098,0.09960872753515226
1707144113,0.09965705371734195
1707144128,0.09972027363675907
1707144143,0.17875728155339354
1707144158,0.462454545454543
1707144173,0.6688967517401408
1707144188,0.7781653484923372
1707144203,0.8386313114198575
1707144218,0.8440164190774033
1707144233,0.8684362818590696
1707144248,0.87047793858101
1707144263,0.8919091079109781
1707144278,0.9172141766455036
1707144293,5.008262948207121
1707144308,6.4033305509182235
1707144323,7.844679075738123
1707144338,8.55594323873121
1707144353,10
1707144368,10
1707144383,10
1707144398,10
1707144413,10
1707144428,10
1707144443,10
1707144458,10
1707144473,10
1707144488,10
1707144503,10
1707144518,10
1707144533,10
1707144548,10
1707144563,10
1707144578,10
1707144593,10
1707144608,10
1707144623,10
1707144638,10
1707144653,10
