ts,value,controller
1707149271,5.025,website-generator
1707149286,7.5249999999999995,website-generator
1707149301,10,website-generator
1707149316,10,website-generator
1707149331,10,website-generator
1707149346,10,website-generator
1707149361,10,website-generator
1707149376,10,website-generator
1707149391,10,website-generator
1707149406,10,website-generator
1707149421,10,website-generator
1707149436,10,website-generator
1707149451,10,website-generator
1707149466,10,website-generator
1707149481,10,website-generator
1707149496,10,website-generator
1707149511,10,website-generator
1707149526,10,website-generator
1707149541,10,website-generator
1707149556,10,website-generator
1707149571,10,website-generator
1707149586,10,website-generator
1707149601,10,website-generator
1707149616,10,website-generator
1707149631,10,website-generator
1707149646,10,website-generator
1707149661,10,website-generator
1707149676,10,website-generator
1707149691,10,website-generator
1707149706,10,website-generator
1707149721,10,website-generator
1707149736,10,website-generator
1707149751,10,website-generator
1707149766,10,website-generator
1707149781,10,website-generator
1707149796,10,website-generator
1707149811,10,website-generator
1707149826,10,website-generator
1707149841,10,website-generator
1707149856,10,website-generator
1707149871,10,website-generator
1707149886,10,website-generator
1707149901,10,website-generator
1707149916,10,website-generator
1707149931,10,website-generator
1707149946,10,website-generator
1707149961,10,website-generator
1707149976,10,website-generator
1707149991,10,website-generator
1707150006,10,website-generator
1707150021,10,website-generator
1707150036,10,website-generator
1707150051,10,website-generator
1707150066,10,website-generator
1707150081,10,website-generator
1707150096,10,website-generator
1707150111,10,website-generator
1707150126,10,website-generator
1707150141,10,website-generator
1707149271,0,website-mutator
1707149286,1.8959999999999997,website-mutator
1707149301,4.987599999999999,website-mutator
1707149316,9.1102,website-mutator
1707149331,15.012599999999999,website-mutator
1707149346,19.84,website-mutator
1707149361,25.92,website-mutator
1707149376,29.84,website-mutator
1707149391,35.92,website-mutator
1707149406,39.84,website-mutator
1707149421,45.92,website-mutator
1707149436,49.84,website-mutator
1707149451,55.92,website-mutator
1707149466,59.84,website-mutator
1707149481,65.92,website-mutator
1707149496,69.84,website-mutator
1707149511,75.9,website-mutator
1707149526,79.86,website-mutator
1707149541,85.9,website-mutator
1707149556,89.82000000000001,website-mutator
1707149571,95.92,website-mutator
1707149586,99.76,website-mutator
1707149601,105.88,website-mutator
1707149616,109.76,website-mutator
1707149631,115.94,website-mutator
1707149646,119.76,website-mutator
1707149661,125.92,website-mutator
1707149676,129.76,website-mutator
1707149691,135.92000000000002,website-mutator
1707149706,139.82,website-mutator
1707149721,145.92000000000002,website-mutator
1707149736,149.74,website-mutator
1707149751,155.92000000000002,website-mutator
1707149766,159.74,website-mutator
1707149781,166,website-mutator
1707149796,169.94,website-mutator
1707149811,176,website-mutator
1707149826,179.94,website-mutator
1707149841,185.88,website-mutator
1707149856,189.92000000000002,website-mutator
1707149871,195.88,website-mutator
1707149886,199.92000000000002,website-mutator
1707149901,205.6,website-mutator
1707149916,210,website-mutator
1707149931,215.6,website-mutator
1707149946,220,website-mutator
1707149961,225.64000000000001,website-mutator
1707149976,229.94,website-mutator
1707149991,235.64000000000001,website-mutator
1707150006,239.46,website-mutator
1707150021,245.70000000000002,website-mutator
1707150036,249.44,website-mutator
1707150051,256.08,website-mutator
1707150066,259.44,website-mutator
1707150081,266.12,website-mutator
1707150096,269.5,website-mutator
1707150111,276.12,website-mutator
1707150126,279.5,website-mutator
1707150141,286.12,website-mutator
