ts,value
1707149256,0.2875000000000014
1707149271,0.8218749999999986
1707149286,0.7056250000000013
1707149301,0.4968085106382978
1707149316,0.4818617021276591
1707149331,0.45021276595744614
1707149346,0.4300531914893612
1707149361,0.3902604166666658
1707149376,0.36552083333333246
1707149391,0.31442708333333275
1707149406,0.2844791666666661
1707149421,0.24965848214285716
1707149436,0.24915112037519543
1707149451,0.24855748663101607
1707149466,0.24821353108492486
1707149481,0.24767961498796837
1707149496,0.24758580152671752
1707149511,0.24793434949591933
1707149526,0.24816817512102712
1707149541,0.24817798466593646
1707149556,0.4206031976744186
1707149571,1.204054054054059
1707149586,2.1573710762331837
1707149601,2.3835620052770445
1707149616,2.3845748160261646
1707149631,4.6878313253012065
1707149646,4.800643463000878
1707149661,8.194139194139199
1707149676,9.202312889812887
1707149691,10
1707149706,10
1707149721,10
1707149736,10
1707149751,10
1707149766,10
1707149781,10
1707149796,10
1707149811,10
1707149826,10
1707149841,10
1707149856,10
1707149871,10
1707149886,10
1707149901,10
1707149916,10
1707149931,10
1707149946,10
1707149961,10
1707149976,10
1707149991,10
1707150006,10
1707150021,10
1707150036,10
1707150051,10
1707150066,10
1707150081,10
1707150096,10
1707150111,10
1707150126,10
1707150141,10
