ts,value,controller
1707146838,2.4995,website-generator
1707146853,4.999499999999999,website-generator
1707146868,7.499499999999999,website-generator
1707146883,9.9995,website-generator
1707146898,10,website-generator
1707146913,10.02,website-generator
1707146928,10,website-generator
1707146943,10,website-generator
1707146958,10,website-generator
1707146973,10,website-generator
1707146988,10,website-generator
1707147003,10.02,website-generator
1707147018,10,website-generator
1707147033,10,website-generator
1707147048,10,website-generator
1707147063,10,website-generator
1707147078,10,website-generator
1707147093,10,website-generator
1707147108,10,website-generator
1707147123,10,website-generator
1707147138,10,website-generator
1707147153,10.02,website-generator
1707147168,10,website-generator
1707147183,10,website-generator
1707147198,10,website-generator
1707147213,10,website-generator
1707147228,10,website-generator
1707147243,9.98,website-generator
1707147258,10,website-generator
1707147273,10.02,website-generator
1707147288,10.02,website-generator
1707147303,10,website-generator
1707147318,10,website-generator
1707147333,9.98,website-generator
1707147348,10,website-generator
1707147363,10,website-generator
1707147378,10.02,website-generator
1707147393,10,website-generator
1707147408,10,website-generator
1707147423,10,website-generator
1707147438,10,website-generator
1707147453,10,website-generator
1707147468,10,website-generator
1707147483,10,website-generator
1707147498,10,website-generator
1707147513,10,website-generator
1707147528,10,website-generator
1707147543,9.98,website-generator
1707147558,10,website-generator
1707147573,10,website-generator
1707147588,10.02,website-generator
1707147603,10,website-generator
1707147618,10,website-generator
1707147633,10,website-generator
1707147648,10,website-generator
1707147663,10,website-generator
1707147678,10,website-generator
1707147693,10,website-generator
1707147708,10,website-generator
1707147723,10,website-generator
1707146838,0,website-mutator
1707146853,0,website-mutator
1707146868,2.391491666666667,website-mutator
1707146883,4.47976,website-mutator
1707146898,9.85942,website-mutator
1707146913,14.479260000000002,website-mutator
1707146928,21.580000000000002,website-mutator
1707146943,24.82,website-mutator
1707146958,31.580000000000002,website-mutator
1707146973,34.82,website-mutator
1707146988,41.58,website-mutator
1707147003,44.800000000000004,website-mutator
1707147018,51.58,website-mutator
1707147033,54.82,website-mutator
1707147048,61.6,website-mutator
1707147063,64.84,website-mutator
1707147078,71.58,website-mutator
1707147093,74.82000000000001,website-mutator
1707147108,81.54,website-mutator
1707147123,84.84,website-mutator
1707147138,91.54,website-mutator
1707147153,94.82000000000001,website-mutator
1707147168,101.5,website-mutator
1707147183,104.82000000000001,website-mutator
1707147198,111.52,website-mutator
1707147213,114.82000000000001,website-mutator
1707147228,121.5,website-mutator
1707147243,124.8,website-mutator
1707147258,131.52,website-mutator
1707147273,134.76,website-mutator
1707147288,141.54,website-mutator
1707147303,144.78,website-mutator
1707147318,151.64000000000001,website-mutator
1707147333,154.78,website-mutator
1707147348,161.64000000000001,website-mutator
1707147363,164.76,website-mutator
1707147378,171.54,website-mutator
1707147393,174.8,website-mutator
1707147408,181.56,website-mutator
1707147423,184.74,website-mutator
1707147438,191.6,website-mutator
1707147453,194.74,website-mutator
1707147468,201.64000000000001,website-mutator
1707147483,204.78,website-mutator
1707147498,211.66,website-mutator
1707147513,214.8,website-mutator
1707147528,221.62,website-mutator
1707147543,224.82,website-mutator
1707147558,231.62,website-mutator
1707147573,234.74,website-mutator
1707147588,241.5,website-mutator
1707147603,244.58,website-mutator
1707147618,251.52,website-mutator
1707147633,254.52,website-mutator
1707147648,261.7,website-mutator
1707147663,264.6,website-mutator
1707147678,271.72,website-mutator
1707147693,274.58,website-mutator
1707147708,281.64,website-mutator
1707147723,284.62,website-mutator
