ts,value
1707146838,104
1707146853,204
1707146868,404
1707146883,504
1707146898,704
1707146913,804
1707146928,1004
1707146943,1104
1707146958,1304
1707146973,1403
1707146988,1604
1707147003,1704
1707147018,1904
1707147033,2004
1707147048,2204
1707147063,2304
1707147078,2504
1707147093,2604
1707147108,2804
1707147123,2904
1707147138,3104
1707147153,3204
1707147168,3404
1707147183,3504
1707147198,3704
1707147213,3804
1707147228,4004
1707147243,4104
1707147258,4304
1707147273,4404
1707147288,4604
1707147303,4704
1707147318,4904
1707147333,5004
1707147348,5204
1707147363,5304
1707147378,5504
1707147393,5604
1707147408,5804
1707147423,5904
1707147438,6104
1707147453,6204
1707147468,6404
1707147483,6504
1707147498,6704
1707147513,6804
1707147528,7004
1707147543,7104
1707147558,7304
1707147573,7404
1707147588,7604
1707147603,7704
1707147618,7904
1707147633,8004
1707147648,8204
1707147663,8304
1707147678,8504
1707147693,8604
1707147708,8804
1707147723,8904
