ts,value
1707145630,91
1707145645,264
1707145660,391
1707145675,572
1707145690,698
1707145705,868
1707145720,990
1707145735,1171
1707145750,1285
1707145765,1472
1707145780,1589
1707145795,1768
1707145810,1887
1707145825,2067
1707145840,2186
1707145855,2369
1707145870,2492
1707145885,2667
1707145900,2788
1707145915,2967
1707145930,3082
1707145945,3268
1707145960,3389
1707145975,3568
1707145990,3692
1707146005,3866
1707146020,3992
1707146035,4170
1707146050,4284
1707146065,4468
1707146080,4581
1707146095,4763
1707146110,4890
1707146125,5069
1707146140,5188
1707146155,5371
1707146170,5485
1707146185,5668
1707146200,5797
1707146215,5972
1707146230,6090
1707146245,6271
1707146260,6390
1707146275,6566
1707146290,6690
1707146305,6873
1707146320,6981
1707146335,7171
1707146350,7289
1707146365,7462
1707146380,7586
1707146395,7771
1707146410,7886
1707146425,8070
1707146440,8182
1707146455,8371
1707146470,8485
1707146485,8665
1707146500,8792
1707146515,8967
