ts,value,controller
1707145630,2.5608333333333335,website-generator
1707145645,5.060833333333334,website-generator
1707145660,7.560833333333333,website-generator
1707145675,9.98,website-generator
1707145690,9.98,website-generator
1707145705,10.02,website-generator
1707145720,10,website-generator
1707145735,10.02,website-generator
1707145750,9.98,website-generator
1707145765,10.02,website-generator
1707145780,10,website-generator
1707145795,10,website-generator
1707145810,9.98,website-generator
1707145825,10,website-generator
1707145840,10.02,website-generator
1707145855,9.98,website-generator
1707145870,10,website-generator
1707145885,10.02,website-generator
1707145900,10,website-generator
1707145915,10,website-generator
1707145930,10,website-generator
1707145945,9.98,website-generator
1707145960,10,website-generator
1707145975,10,website-generator
1707145990,10.02,website-generator
1707146005,10.02,website-generator
1707146020,10,website-generator
1707146035,10.02,website-generator
1707146050,9.98,website-generator
1707146065,10,website-generator
1707146080,10,website-generator
1707146095,10.02,website-generator
1707146110,9.98,website-generator
1707146125,9.98,website-generator
1707146140,9.98,website-generator
1707146155,10,website-generator
1707146170,10.02,website-generator
1707146185,10,website-generator
1707146200,10,website-generator
1707146215,10,website-generator
1707146230,10,website-generator
1707146245,9.98,website-generator
1707146260,10.02,website-generator
1707146275,10.02,website-generator
1707146290,10.02,website-generator
1707146305,10,website-generator
1707146320,10,website-generator
1707146335,9.98,website-generator
1707146350,9.98,website-generator
1707146365,9.98,website-generator
1707146380,10.02,website-generator
1707146395,10,website-generator
1707146410,10.02,website-generator
1707146425,10.02,website-generator
1707146440,10.02,website-generator
1707146455,9.98,website-generator
1707146470,10,website-generator
1707146485,9.98,website-generator
1707146500,10.02,website-generator
1707146515,10,website-generator
1707145630,0,website-mutator
1707145645,0,website-mutator
1707145660,2.5333395833333334,website-mutator
1707145675,4.6238383333333335,website-mutator
1707145690,10.069755,website-mutator
1707145705,14.668005,website-mutator
1707145720,21.98,website-mutator
1707145735,25.04,website-mutator
1707145750,31.98,website-mutator
1707145765,35.04,website-mutator
1707145780,41.96,website-mutator
1707145795,45.04,website-mutator
1707145810,51.980000000000004,website-mutator
1707145825,55.02,website-mutator
1707145840,61.980000000000004,website-mutator
1707145855,65,website-mutator
1707145870,72,website-mutator
1707145885,74.96000000000001,website-mutator
1707145900,81.98,website-mutator
1707145915,85.02,website-mutator
1707145930,92,website-mutator
1707145945,95.02,website-mutator
1707145960,102,website-mutator
1707145975,105,website-mutator
1707145990,111.98,website-mutator
1707146005,115.02,website-mutator
1707146020,122,website-mutator
1707146035,124.94,website-mutator
1707146050,132,website-mutator
1707146065,134.96,website-mutator
1707146080,142.08,website-mutator
1707146095,144.98,website-mutator
1707146110,152.04,website-mutator
1707146125,154.92000000000002,website-mutator
1707146140,162,website-mutator
1707146155,164.84,website-mutator
1707146170,172,website-mutator
1707146185,174.82,website-mutator
1707146200,182.08,website-mutator
1707146215,184.92000000000002,website-mutator
1707146230,192.06,website-mutator
1707146245,194.88,website-mutator
1707146260,202.02,website-mutator
1707146275,204.88,website-mutator
1707146290,212.1,website-mutator
1707146305,215.06,website-mutator
1707146320,222.08,website-mutator
1707146335,225.04,website-mutator
1707146350,231.72,website-mutator
1707146365,235.08,website-mutator
1707146380,241.74,website-mutator
1707146395,245.28,website-mutator
1707146410,251.76000000000002,website-mutator
1707146425,255.38,website-mutator
1707146440,261.76,website-mutator
1707146455,265.34000000000003,website-mutator
1707146470,271.8,website-mutator
1707146485,275.2,website-mutator
1707146500,281.82,website-mutator
1707146515,285.18,website-mutator
